0.55566E-03 0.31975E-05 0.00000E+01 375069 0 0 18163 0.32690E+08 0.00000E+01 0.55566E-03 0.00000E+01 0.00000E+01 0
1 0.00059214 6.88e-05 11.619 0.30618 0.00059214
2 0.00055237 1.2541e-05 3.2108 0.041537 0.00055237
3 0.00055377 4.5499e-06 1.6432 0.016922 0.00055377
4 0.00055098 7.0961e-05 12.879 0.43705 0.00055098
5 0.00056072 1.4684e-05 3.7034 0.08263 0.00056072
6 0.0005582 4.7936e-06 1.7175 0.025647 0.0005582
7 0.00039352 4.0848e-05 10.38 0.19587 0.00039352
8 0.00053624 1.3169e-05 3.473 0.055625 0.00053624
9 0.00055545 4.8715e-06 1.7541 0.016445 0.00055545
10 0.00059088 8.3001e-05 14.047 0.45101 0.00059088
11 0.00055201 1.4467e-05 3.7062 0.11586 0.00055201
12 0.00055738 4.9029e-06 1.7593 0.018903 0.00055738
13 0.00066277 9.2347e-05 13.933 0.4165 0.00066277
14 0.00056891 1.3978e-05 3.4747 0.10684 0.00056891
15 0.0005553 4.4138e-06 1.5897 0.013913 0.0005553
